1	Harbin Institute of Technology	282.8	
2	Beihang University	258.9	
3	Zhejiang University	255.4	
4	Tsinghua University	251.0	
5	Jilin University	239.3	
6	Nanyang Technological University	233.5	
7	Southeast University	233.2	
8	Huazhong University of Science and Technology	232.1	
9	Xi'an Jiaotong University	222.8	
10	Dalian University of Technology	220.9	
11	Northwestern Polytechnical University	217.4	
12	Northeastern University (Shenyang)	216.3	
13	Tianjin University	215.6	
14	Chongqing University	214.5	
15	Shanghai Jiao Tong University	213.5	
16	Wuhan University	212.7	
17	Beijing Institute of Technology	209.5	
18	University of Electronic Science and Technology of China	209.3	
19	Nanjing University of Aeronautics and Astronautics	208.6	
20	Aalborg University	206.8	
21	King Abdulaziz University	198.4	
22	Hanyang University	196.1	
22	National University of Singapore	196.1	
24	Massachusetts Institute of Technology (MIT)	193.3	
25	Central South University	192.7	
26	South China University of Technology	190.6	
27	Hunan University	190.1	
28	Seoul National University	189.4	
29	The Hong Kong Polytechnic University	188.6	
30	University of Science and Technology of China	187.2	
31	Tongji University	186.8	
32	The University of New South Wales	186.5	
33	City University of Hong Kong	186.0	
34	University of Jinan	185.9	
35	Korea University	185.7	
36	University of Malaya	185.6	
37	National University of Defense Technology	185.4	
38	Beijing Jiaotong University	182.8	
39	University of Technology Sydney	182.6	
40	Harvard University	182.5	
41	Korea Advanced Institute of Science and Technology	182.1	
42	ETH Zurich	181.5	
43	The University of Auckland	180.6	
43	University of Alberta	180.6	
45	Polytechnic University of Catalonia	180.5	
46	INHA University	179.3	
47	Southwest University	179.2	
48	Polytechnic University of Madrid	179.0	
49	Hefei University of Technology	178.3	
50	University of Houston	178.2	
51-75	Beijing University of Chemical Technology		
51-75	Chonnam National University		
51-75	Harbin Engineering University		
51-75	Imperial College London		
51-75	Isfahan University of Technology		
51-75	Islamic Azad University		
51-75	Jiangnan University		
51-75	Jiangsu University		
51-75	Kyungpook National University		
51-75	Nanjing University of Science and Technology		
51-75	National Taiwan University		
51-75	Polytechnic University of Milan		
51-75	Purdue University - West Lafayette		
51-75	Shandong University		
51-75	Shenzhen University		
51-75	Southwest Jiaotong University		
51-75	The Ohio State University - Columbus		
51-75	The University of Adelaide		
51-75	The University of Manchester		
51-75	University of Antwerp		
51-75	University of California, San Diego		
51-75	University of Maryland, College Park		
51-75	University of Science and Technology Beijing		
51-75	University of Seville		
51-75	University of Tehran		
51-75	University of Wollongong		
76-100	Georgia Institute of Technology		
76-100	Ghent University		
76-100	Johns Hopkins University		
76-100	Monash University		
76-100	Paris-Saclay University		
76-100	Qatar University		
76-100	Qingdao University of Science and Technology		
76-100	Rice University		
76-100	RMIT University		
76-100	Shandong University of Science and Technology		
76-100	Shanghai University		
76-100	Shanxi University		
76-100	Stanford University		
76-100	Sungkyunkwan University		
76-100	Swiss Federal Institute of Technology Lausanne		
76-100	The University of Tokyo		
76-100	Universiti Teknologi Malaysia		
76-100	University of Bologna		
76-100	University of California, Berkeley		
76-100	University of L'Aquila		
76-100	University of Michigan-Ann Arbor		
76-100	University of Nebraska - Lincoln		
76-100	University of Southampton		
76-100	Xidian University		
101-150	Carnegie Mellon University		
101-150	China University of Petroleum (Huadong)		
101-150	COMSATS University Islamabad		
101-150	Concordia University		
101-150	Delft University of Technology		
101-150	East China University of Science and Technology		
101-150	Hangzhou Dianzi University		
101-150	Indian Institute of Technology Delhi		
101-150	Jeonbuk National University		
101-150	King Saud University		
101-150	Nanjing University		
101-150	Nankai University		
101-150	National Central University		
101-150	National Polytechnic Institute		
101-150	Northwestern University		
101-150	Peking University		
101-150	Pohang University of Science and Technology		
101-150	Politecnico di Bari		
101-150	Polytechnic University of Valencia		
101-150	Qufu Normal University		
101-150	Soochow University (China)		
101-150	Sun Yat-sen University		
101-150	Texas A&M University		
101-150	Texas Tech University		
101-150	The University of Hong Kong		
101-150	The University of Sheffield		
101-150	UNESP		
101-150	Université Grenoble Alpes		
101-150	University of Bristol		
101-150	University of British Columbia		
101-150	University of California, Los Angeles		
101-150	University of Campinas		
101-150	University of Duisburg-Essen		
101-150	University of Illinois at Chicago		
101-150	University of Nottingham		
101-150	University of Oviedo		
101-150	University of Oxford		
101-150	University of Padua		
101-150	University of Sydney		
101-150	University of Tabriz		
101-150	University of Toronto		
101-150	University of Trento		
101-150	University of Ulsan		
101-150	University of Wisconsin - Madison		
101-150	Vienna University of Technology		
101-150	Virginia Polytechnic Institute and State University		
101-150	Wuhan University of Technology		
101-150	Yanshan University		
101-150	Yonsei University		
101-150	Zhengzhou University		
151-200	Anhui University		
151-200	Arizona State University		
151-200	Autonomous University of Barcelona		
151-200	Boston University		
151-200	California Institute of Technology		
151-200	Charles University in Prague		
151-200	Columbia University		
151-200	Cornell University		
151-200	Dalian Maritime University		
151-200	Indian Institute of Technology Madras		
151-200	Indian Institute of Technology Roorkee		
151-200	Jadavpur University		
151-200	Karlsruhe Institute of Technology (KIT)		
151-200	Khalifa University		
151-200	Middle East Technical University		
151-200	National Yang Ming Chiao Tung University		
151-200	North China Electric Power University		
151-200	Panjab University		
151-200	Polytechnic University of Turin		
151-200	PSL University		
151-200	Quaid-i-Azam University		
151-200	Rutgers, The State University of New Jersey - New Brunswick		
151-200	RWTH Aachen University		
151-200	Sapienza University of Rome		
151-200	Sorbonne University		
151-200	Technical University of Munich		
151-200	University at Buffalo, the State University of New York		
151-200	University of Barcelona		
151-200	University of California, Davis		
151-200	University of California, Santa Barbara		
151-200	University of Cambridge		
151-200	University of Colorado at Boulder		
151-200	University of Delhi		
151-200	University of Florence		
151-200	University of Florida		
151-200	University of Illinois at Urbana-Champaign		
151-200	University of Macau		
151-200	University of Malaga		
151-200	University of Naples Federico II		
151-200	University of Notre Dame		
151-200	University of Porto		
151-200	University of Roma - Tor Vergata		
151-200	University of Twente		
151-200	University of Virginia		
151-200	University of Zurich		
151-200	Vrije Universiteit Brussel (VUB)		
151-200	Warsaw University of Technology		
151-200	Xiamen University		
151-200	Yeungnam University		
151-200	Zhejiang University of Technology		
201-300	Amirkabir University of Technology		
201-300	Autonomous University of Madrid		
201-300	Beijing University of Posts and Telecommunications		
201-300	Carlos III University of Madrid		
201-300	Central China Normal University		
201-300	China University of Geosciences (Wuhan)		
201-300	China University of Mining and Technology (Xuzhou)		
201-300	Chung-Ang University		
201-300	Chungnam National University		
201-300	Claude Bernard University Lyon 1		
201-300	Complutense University of Madrid		
201-300	Cranfield University		
201-300	Curtin University		
201-300	Dongguk University		
201-300	Fuzhou University		
201-300	Guangdong University of Technology		
201-300	Hohai University		
201-300	Indian Institute of Science		
201-300	Indian Institute of Technology Bombay		
