1	Harvard University	301.6	100.0
2	Stanford University	257.3	80.1
3	Johns Hopkins University	254.4	76.9
4	King's College London	235.8	75.1
5	University of Oxford	228.3	65.6
6	University College London	223.9	59.5
7	New York University	222.8	66.9
8	University of Toronto	218.5	51.0
9	Utrecht University	215.5	66.5
10	University of California, San Francisco	213.6	54.1
11	Mayo Clinic Alix School of Medicine	207.5	44.6
12	University of California, Los Angeles	206.2	59.9
13	University of Pennsylvania	204.5	48.2
14	University of Minnesota, Twin Cities	203.7	62.2
15	ETH Zurich	202.3	59.9
16	Duke University	201.6	46.4
17	Heidelberg University	199.4	49.3
18	University of Wisconsin - Madison	195.8	61.3
19	University of Zurich	195.5	57.1
20	Radboud University Nijmegen	194.9	34.9
21	Technical University of Munich	192.3	43.3
22	Massachusetts Institute of Technology (MIT)	191.8	53.1
23	Vanderbilt University	191.5	63.9
24	University of California, San Diego	190.3	48.2
25	Leiden University	187.7	45.2
26	The University of Texas Southwestern Medical Center at Dallas	186.1	50.4
27	Imperial College London	183.0	27.8
28	Case Western Reserve University	182.4	46.4
29	University of Cambridge	181.7	34.1
30	University of Lausanne	179.9	51.0
31	University of Freiburg	179.7	45.2
32	University of Tuebingen	179.0	51.0
33	Yale University	178.9	35.6
34	Medical University of Vienna	178.7	36.4
35	University of California, Berkeley	178.5	42.0
36	McGill University	176.6	33.2
37	Humboldt University of Berlin	176.4	39.3
38	Free University Berlin	176.2	39.3
39	Aarhus University	175.9	38.6
40	University of Washington	175.0	40.0
41	Cornell University	174.6	40.0
42	Northwestern University	174.2	46.4
43	Charite - Universitats Medizin Berlin	173.4	38.6
43	University of Amsterdam	173.4	31.5
45	University of Munich	173.3	27.8
46	University of Southern California	172.5	46.4
47	University of Copenhagen	171.8	28.8
48	Washington University in St. Louis	171.5	33.2
49	Swiss Federal Institute of Technology Lausanne	170.9	44.6
50	Maastricht University	170.1	30.6
51-75	Emory University		21.0
51-75	Erasmus University Rotterdam		19.7
51-75	Icahn School of Medicine at Mount Sinai		30.6
51-75	KU Leuven		14.9
51-75	RWTH Aachen University		24.7
51-75	Seoul National University		28.8
51-75	Technical University of Denmark		31.5
51-75	The University of Melbourne		28.8
51-75	The University of Queensland		36.4
51-75	The University of Texas M. D. Anderson Cancer Center		24.7
51-75	University of Basel		42.7
51-75	University of Bern		34.9
51-75	University of British Columbia		26.8
51-75	University of Chicago		32.4
51-75	University of Duisburg-Essen		31.5
51-75	University of Erlangen-Nuremberg		32.4
51-75	University of Geneva		32.4
51-75	University of Hamburg		27.8
51-75	University of Michigan-Ann Arbor		35.6
51-75	University of North Carolina at Chapel Hill		24.7
51-75	University of Nottingham		25.7
51-75	University of Pittsburgh		33.2
51-75	University of Virginia		39.3
51-75	University of Wuerzburg		35.6
51-75	Vrije Universiteit Amsterdam		14.9
76-100	Cardiff University		24.7
76-100	Columbia University		16.6
76-100	Eindhoven University of Technology		33.2
76-100	Karolinska Institute		26.8
76-100	Lund University		33.2
76-100	Oregon Health and Science University		25.7
76-100	Paris-Saclay University		26.8
76-100	Pontifical Catholic University of Chile		39.3
76-100	Sapienza University of Rome		14.9
76-100	Sorbonne University		19.7
76-100	St George's, University of London		18.2
76-100	The University of Calgary		30.6
76-100	The University of Sheffield		39.3
76-100	Tsinghua University		45.8
76-100	University of Antwerp		22.3
76-100	University of Cologne		14.9
76-100	University of Iowa		28.8
76-100	University of Maryland, Baltimore		25.7
76-100	University of Montreal		22.3
76-100	University of Padua		12.9
76-100	University of Sydney		18.2
76-100	University of Utah		40.7
76-100	Uppsala University		18.2
76-100	Western University		34.9
76-100	Yonsei University		29.7
101-150	Aalto University		14.9
101-150	Aix Marseille University		25.7
101-150	Catholic University of Louvain		19.7
101-150	Delft University of Technology		27.8
101-150	Ghent University		10.5
101-150	Goethe University Frankfurt		14.9
101-150	Heinrich Heine University Duesseldorf		18.2
101-150	Korea Advanced Institute of Science and Technology		33.2
101-150	Linkoping University		28.8
101-150	Medical University of Graz		21.0
101-150	Medical University of South Carolina		14.9
101-150	PSL University		7.4
101-150	Queen Mary University of London		10.5
101-150	Southern Medical University		28.8
101-150	Stony Brook University		19.7
101-150	Sungkyunkwan University		34.9
101-150	The Chinese University of Hong Kong		10.5
101-150	The Ohio State University - Columbus		33.2
101-150	The University of Edinburgh		14.9
101-150	The University of Manchester		21.0
101-150	The University of Texas at Dallas		28.8
101-150	University at Buffalo, the State University of New York		21.0
101-150	University of Alberta		33.2
101-150	University of Barcelona		0.0
101-150	University of Bergen		7.4
101-150	University of Birmingham		18.2
101-150	University of Bologna		10.5
101-150	University of Bonn		23.5
101-150	University of Bordeaux		19.7
101-150	University of California, Irvine		18.2
101-150	University of Colorado at Denver		7.4
101-150	University of Goettingen		23.5
101-150	University of Groningen		0.0
101-150	University of Illinois at Chicago		29.7
101-150	University of Leeds		24.7
101-150	University of Liege		0.0
101-150	University of Miami		21.0
101-150	University of Oslo		12.9
101-150	University of Ottawa		10.5
101-150	University of Paris		14.9
101-150	University of Pavia		16.6
101-150	University of Rochester		24.7
101-150	University of Rostock		12.9
101-150	University of Sherbrooke		19.7
101-150	University of Turin		21.0
101-150	University of Turku		19.7
101-150	University of Warwick		10.5
101-150	University Paris Est Creteil		7.4
101-150	Wayne State University		16.6
101-150	Zhejiang University		37.2
151-200	Autonomous University of Barcelona		10.5
151-200	Baylor College of Medicine		14.9
151-200	Boston University		10.5
151-200	Brown University		7.4
151-200	Capital Medical University		24.7
151-200	Claude Bernard University Lyon 1		14.9
151-200	Hannover Medical School		19.7
151-200	Huazhong University of Science and Technology		24.7
151-200	Indiana University Bloomington		14.9
151-200	Korea University		10.5
151-200	Medical College of Wisconsin		24.7
151-200	Medical University of Innsbruck		0.0
151-200	Monash University		16.6
151-200	National University of Singapore		12.9
151-200	Newcastle University		16.6
151-200	Norwegian University of Science and Technology - NTNU		19.7
151-200	Peking University		26.8
151-200	Pompeu Fabra University		0.0
151-200	Shanghai Jiao Tong University		19.7
151-200	Tel Aviv University		21.0
151-200	The Hebrew University of Jerusalem		10.5
151-200	The University of Glasgow		16.6
151-200	The University of Hong Kong		25.7
151-200	The University of New Mexico - Albuquerque		10.5
151-200	The University of New South Wales		16.6
151-200	TU Dresden		0.0
151-200	Umea University		18.2
151-200	Université Grenoble Alpes		19.7
151-200	Université libre de Bruxelles (ULB)		12.9
151-200	University of Alabama at Birmingham		12.9
151-200	University of Arizona		31.5
151-200	University of California, Davis		10.5
151-200	University of Cincinnati		19.7
151-200	University of Colorado Health Science Center		14.9
151-200	University of Eastern Finland		26.8
